Filename,Title,Author,Language,Release Date
./Gutenberg\58084-0.txt,Cardenio,Gustave Aimard,French,"October 12, 2018"
./Gutenberg\59154-0.txt,El Niño de la Bola,Pedro Antonio de Alarcón,Spanish,"March 29, 2019"
./Gutenberg\61244-0.txt,Cosas que fueron,Pedro Antonio de Alarcón,Spanish,"January 25, 2020"
./Gutenberg\61594-0.txt,Tratado de Ortografía Valenciana Clásica,José Nebot Pérez,Spanish,"March 10, 2020"
./Gutenberg\62450-0.txt,"Historia del Paraguay, Río de La Plata y Tucumán",José Guevara,Spanish,"June 22, 2020"
./Gutenberg\63019-0.txt,Sainetes,Carlos Arniches y Barrera,Spanish,"August 23, 2020"
./Gutenberg\63061-0.txt,"Sir Francis Drake His Voyage, 1595",Thomas Maynarde,English,"August 27, 2020"
./Gutenberg\63722-0.txt,Flyvefisken »Prometheus«,Vilhelm Bergsøe,Danish,"November 12, 2020"
./Gutenberg\63823-0.txt,Nuevas poesías y evangélicas,Pedro B. Palacios,Spanish,"November 21, 2020"
./Gutenberg\64084-0.txt,Les demoiselles Goubert,Jean Moréas,French,"December 22, 2020"
./Gutenberg\64202-0.txt,Les mariages de Paris,Edmond About,French,"January 02, 2021"
./Gutenberg\64589-0.txt,Doctor Sutilis,Leopoldo Alas,Spanish,"February 18, 2021"
./Gutenberg\65546-0.txt,Le Turco,Edmond About,French,"June 7, 2021"
./Gutenberg\66023-0.txt,Tragedias,Esquilo,Spanish,"August 9, 2021"
./Gutenberg\89741.txt,"Sir Francis Drake His Voyage, 1595",Thomas Maynarde,English,"August 27, 2020"
./Gutenberg\pg02761.txt,The Cossacks,Leo Tolstoy,English,"March 13, 2002"
./Gutenberg\pg10293.txt,Relacion historica de los sucesos de la rebelion de Jose Gabriel,Anonymous,Spanish,"November 26, 2003"
./Gutenberg\pg10774.txt,Recits d'un soldat,Amedee Achard,French,"January 21, 2004"
./Gutenberg\pg10825.txt,La Navidad en las Montanas,Ignacio Manuel Altamirano,Spanish,"January 25, 2004"
./Gutenberg\pg10909.txt,Los Amantes de Teruel,"Hartzenbusch, Juan Eugenio",Spanish,"February 2, 2004"
./Gutenberg\pg11081.txt,"A Vocabulary or Phrase Book of the Mutsun Language, Spoken at the Mission of San Juan Bautista, Alta California",Father Felipe Arroyo de la Cuesta,English and Spanish,"February 14, 2004"
./Gutenberg\pg12133.txt,The Lady of the Barge,W. W. Jacobs,English,"October 30, 2006"
./Gutenberg\pg12275.txt,Viajes por Filipinas: De Manila á Albay,Juan Álvarez Guerra,Spanish,"May 6, 2004"
./Gutenberg\pg1254.txt,Cyrano de Bergerac,Edmond Rostand,English,"March, 1998"
./Gutenberg\pg13216.txt,"Diario historico de la rebelion y guerra de los pueblos Guaranis situados en la costa oriental del Rio Uruguay, del año de 1754",Tadeo Xavier Henis,Spanish,"August 18, 2004"
./Gutenberg\pg13458.txt,Derroteros y Viages à la Ciudad Encantada,Pedro de Angelis (Editor),Spanish,"September 14, 2004"
./Gutenberg\pg13598.txt,Jim l'indien,Gustave Aimard and Jules Berlioz d'Auriac,French,"October 6, 2004"
